pc4,lat,lon
4456,51.494,3.750
1906,52.572,4.695
5042,51.571,5.054
7025,51.996,6.427
6023,51.251,5.567
4881,51.470,4.660
3074,51.895,4.511
6415,50.897,5.989
5275,51.667,5.374
6093,51.251,5.893
4622,51.502,4.313
9698,53.074,7.077
9362,53.186,6.327
9106,53.315,5.951
7755,52.694,6.809
9981,53.407,6.672
3444,52.098,4.903
6825,51.983,5.963
7361,52.151,5.980
9405,52.986,6.529
9617,53.212,6.699
9445,52.946,6.655
1096,52.339,4.920
2992,51.853,4.528
2152,52.275,4.628
9825,53.184,6.296
5302,51.799,5.251
1943,52.488,4.647
7753,52.681,6.661
1338,52.388,5.279
1775,52.805,5.000
8031,52.526,6.084
3646,52.234,4.896
1975,52.462,4.595
5662,51.428,5.547
9866,53.235,6.259
3847,52.328,5.637
4885,51.453,4.582
8014,52.485,6.115
3445,52.091,4.902
3284,51.753,4.363
6219,50.864,5.688
3079,51.881,4.547
3707,52.095,5.255
8394,52.889,6.092
6626,51.825,5.471
9469,53.073,6.671
8526,52.962,5.741
6125,51.028,5.781
1404,52.276,5.162
3794,52.120,5.511
7039,51.879,6.223
5021,51.548,5.089
4909,51.646,4.906
4575,51.207,3.895
3297,51.804,4.565
1394,52.258,5.050
9909,53.391,6.839
9063,53.252,5.918
7482,52.165,6.727
9495,53.127,6.524
7416,52.258,6.174
5707,51.477,5.642
4553,51.283,3.757
6137,51.000,5.888
4854,51.567,4.828
3265,51.794,4.317
5243,51.721,5.371
4381,51.445,3.575
4436,51.410,3.851
4589,51.388,3.977
6321,50.836,5.892
7848,52.844,6.757
4727,51.538,4.343
4574,51.232,3.898
4411,51.417,4.183
8424,52.942,6.240
8926,53.214,5.842
1797,53.024,4.762
3037,51.937,4.473
1944,52.492,4.653
4651,51.583,4.320
7812,52.764,6.886
8325,52.679,5.956
9162,53.446,5.692
9321,53.146,6.496
8912,53.192,5.769
7815,52.798,6.893
7907,52.716,6.472
8244,52.497,5.419
9471,53.092,6.675
5437,51.724,5.829
9741,53.233,6.553
8105,52.405,6.365
7417,52.255,6.182
7943,52.696,6.219
2182,52.290,4.578
1744,52.765,4.750
3561,52.113,5.124
6419,50.876,5.966
8933,53.198,5.809
1625,52.656,5.054
2111,52.364,4.595
2807,52.010,4.745
8042,52.521,6.048
3201,51.849,4.329
6268,50.845,5.772
3299,51.787,4.554
2989,51.853,4.629
2692,51.998,4.164
7785,52.598,6.649
1016,52.371,4.882
8397,52.843,6.043
3985,52.023,5.244
1715,52.700,4.953
1097,52.346,4.930
9882,53.287,6.326
2821,51.972,4.769
7312,52.205,5.938
7256,52.030,6.295
1171,52.339,4.783
1358,52.334,5.261
9524,52.935,6.881
3785,52.178,5.506
7037,51.909,6.188
6986,51.995,6.134
1817,52.642,4.734
5455,51.656,5.774
2531,52.053,4.302
5366,51.820,5.562
8625,53.012,5.696
9271,53.255,6.035
2411,52.082,4.750
8563,52.889,5.615
3214,51.822,4.256
5305,51.807,5.134
9454,52.953,6.601
9956,53.393,6.513
7532,52.220,6.961
8374,52.790,5.842
7955,52.657,6.298
6524,51.835,5.865
8763,53.016,5.476
3894,52.344,5.528
4243,51.899,5.020
8468,52.998,5.877
2202,52.245,4.435
7937,52.767,6.524
5047,51.592,5.016
1121,52.430,4.914
3541,52.094,5.069
2554,52.068,4.225
3056,51.952,4.515
4013,51.883,5.380
3824,52.201,5.377
9911,53.337,6.815
7084,51.881,6.464
7113,51.984,6.762
2036,52.351,4.652
6851,51.932,5.935
1443,52.509,4.971
2254,52.129,4.436
5013,51.569,5.099
3828,52.186,5.375
2121,52.321,4.598
2977,51.904,4.898
2968,51.939,4.900
5106,51.643,4.966
5215,51.689,5.331
1079,52.342,4.903
5216,51.682,5.322
3994,52.024,5.184
1746,52.747,4.778
2465,52.195,4.671
2752,52.034,4.586
4064,51.825,5.370
3528,52.069,5.081
7796,52.581,6.574
5062,51.571,5.208
5954,51.267,6.042
7142,52.034,6.654
9502,52.991,6.972
2361,52.197,4.502
9071,53.288,5.728
5502,51.424,5.417
9861,53.212,6.275
1992,52.428,4.668
2497,52.037,4.364
9904,53.354,6.847
8264,52.558,5.893
3653,52.150,4.866
5231,51.710,5.306
7966,52.678,6.258
5595,51.349,5.552
8252,52.513,5.710
6708,51.979,5.657
8925,53.208,5.843
2295,52.015,4.256
5032,51.547,5.039
9491,53.047,6.545
7936,52.749,6.544
9161,53.444,5.639
1456,52.502,4.905
8442,52.956,5.928
8881,53.366,5.221
7765,52.672,6.989
2403,52.146,4.681
2144,52.287,4.596
3931,52.081,5.422
1441,52.502,4.953
4286,51.773,4.958
4817,51.590,4.809
5076,51.603,5.227
2971,51.871,4.779
9135,53.371,6.089
4494,51.566,3.771
2515,52.072,4.321
6703,51.968,5.680
8624,53.002,5.708
7771,52.569,6.605
4858,51.538,4.818
7609,52.334,6.641
5735,51.510,5.639
9753,53.172,6.626
9571,52.907,6.935
8774,53.038,5.549
4306,51.650,4.001
4504,51.382,3.454
3075,51.886,4.508
6911,51.891,6.039
4102,51.953,5.243
4877,51.573,4.613
3052,51.953,4.471
2211,52.261,4.494
5702,51.493,5.668
1752,52.782,4.721
9151,53.368,5.903
3523,52.072,5.124
6215,50.841,5.650
9994,53.354,6.638
9025,53.158,5.738
5254,51.710,5.198
6468,50.875,6.047
4533,51.329,3.865
4834,51.571,4.803
9951,53.331,6.522
6606,51.798,5.675
9924,53.369,6.710
3565,52.127,5.087
6351,50.819,6.005
1684,52.700,5.125
7429,52.249,6.222
5642,51.439,5.514
7903,52.733,6.507
9031,53.178,5.730
4714,51.537,4.600
5512,51.422,5.286
4826,51.609,4.784
5625,51.472,5.475
9307,53.100,6.403
9005,53.150,5.845
2201,52.232,4.444
5298,51.570,5.370
2922,51.918,4.593
1161,52.379,4.744
9973,53.337,6.341
3034,51.934,4.494
8254,52.526,5.723
6214,50.846,5.674
1145,52.473,5.040
9655,53.087,6.763
5212,51.697,5.309
5141,51.687,5.058
6251,50.807,5.766
8938,53.199,5.848
2553,52.048,4.229
4338,51.495,3.646
9474,53.102,6.750
9976,53.397,6.214
2451,52.222,4.670
3604,52.131,5.051
8267,52.587,5.908
7329,52.197,6.001
9933,53.339,6.912
6413,50.916,5.955
6029,51.352,5.618
7448,52.364,6.385
9484,53.051,6.639
9986,53.393,6.718
